#node     #x         #y       #z
  1    0.00000   0.00000   7.00000
  2    6.94100   0.00000   5.85000
  3    6.01108   3.47050   5.85000
  4    3.47050   6.01108   5.85000
  5    0.00000   6.94100   5.85000
  6   -3.47050   6.01108   5.85000
  7   -6.01108   3.47050   5.85000
  8   -6.94100   0.00000   5.85000
  9   -6.01108  -3.47050   5.85000
 10   -3.47050  -6.01108   5.85000
 11   -0.00000  -6.94100   5.85000
 12    3.47050  -6.01108   5.85000
 13    6.01108  -3.47050   5.85000
 14   12.04000   0.00000   3.00000
 15   11.62975   3.11618   3.00000
 16   10.42695   6.02000   3.00000
 17    8.51357   8.51357   3.00000
 18    6.02000  10.42695   3.00000
 19    3.11618  11.62975   3.00000
 20    0.00000  12.04000   3.00000
 21   -3.11618  11.62975   3.00000
 22   -6.02000  10.42695   3.00000
 23   -8.51357   8.51357   3.00000
 24  -10.42695   6.02000   3.00000
 25  -11.62975   3.11618   3.00000
 26  -12.04000   0.00000   3.00000
 27  -11.62975  -3.11618   3.00000
 28  -10.42695  -6.02000   3.00000
 29   -8.51357  -8.51357   3.00000
 30   -6.02000 -10.42695   3.00000
 31   -3.11618 -11.62975   3.00000
 32   -0.00000 -12.04000   3.00000
 33    3.11618 -11.62975   3.00000
 34    6.02000 -10.42695   3.00000
 35    8.51357  -8.51357   3.00000
 36   10.42695  -6.02000   3.00000
 37   11.62975  -3.11618   3.00000
 38   15.89000   0.00000   0.00000
 39   13.76114   7.94500   0.00000
 40    7.94500  13.76114   0.00000
 41    0.00000  15.89000   0.00000
 42   -7.94500  13.76114   0.00000
 43  -13.76114   7.94500   0.00000
 44  -15.89000   0.00000   0.00000
 45  -13.76114  -7.94500   0.00000
 46   -7.94500 -13.76114   0.00000
 47   -0.00000 -15.89000   0.00000
 48    7.94500 -13.76114   0.00000
 49   13.76114  -7.94500   0.00000
