#bar  #source  #destination  #group
   1     1           2          1
   2     1           8          2
   3     1          14          3
   4     2           3          4
   5     2           8          5
   6     2           9          6
   7     2          15          7
   8     3           4          8
   9     3           9          9
  10     3          10         10
  11     3          16         11
  12     4           5         12
  13     4          10         13
  14     4          11         14
  15     4          17         15
  16     5           6         16
  17     5          11         17
  18     5          12         18
  19     5          18         19
  20     6           7         20
  21     6          12         21
  22     6          13         22
  23     6          19         23
  24     7          13         24
  25     8           9         25
  26     8          14         26
  27     8          15         27
  28     8          21         28
  29     9          10         29
  30     9          15         30
  31     9          16         31
  32     9          22         32
  33    10          11         33
  34    10          16         34
  35    10          17         35
  36    10          23         36
  37    11          12         37
  38    11          17         38
  39    11          18         39
  40    11          24         40
  41    12          13         41
  42    12          18         42
  43    12          19         43
  44    12          25         44
  45    13          19         45
  46    13          20         46
  47    13          26         47
  48    14          15          1
  49    14          21          2
  50    14          27          3
  51    15          16          4
  52    15          21          5
  53    15          22          6
  54    15          28          7
  55    16          17          8
  56    16          22          9
  57    16          23         10
  58    16          29         11
  59    17          18         12
  60    17          23         13
  61    17          24         14
  62    17          30         15
  63    18          19         16
  64    18          24         17
  65    18          25         18
  66    18          31         19
  67    19          20         20
  68    19          25         21
  69    19          26         22
  70    19          32         23
  71    20          26         24
  72    21          22         25
  73    21          27         26
  74    21          28         27
  75    21          34         28
  76    22          23         29
  77    22          28         30
  78    22          29         31
  79    22          35         32
  80    23          24         33
  81    23          29         34
  82    23          30         35
  83    23          36         36
  84    24          25         37
  85    24          30         38
  86    24          31         39
  87    24          37         40
  88    25          26         41
  89    25          31         42
  90    25          32         43
  91    25          38         44
  92    26          32         45
  93    26          33         46
  94    26          39         47
  95    27          28          1
  96    27          34          2
  97    27          40          3
  98    28          29          4
  99    28          34          5
 100    28          35          6
 101    28          41          7
 102    29          30          8
 103    29          35          9
 104    29          36         10
 105    29          42         11
 106    30          31         12
 107    30          36         13
 108    30          37         14
 109    30          43         15
 110    31          32         16
 111    31          37         17
 112    31          38         18
 113    31          44         19
 114    32          33         20
 115    32          38         21
 116    32          39         22
 117    32          45         23
 118    33          39         24
 119    34          35         25
 120    34          40         26
 121    34          41         27
 122    34          47         28
 123    35          36         29
 124    35          41         30
 125    35          42         31
 126    35          48         32
 127    36          37         33
 128    36          42         34
 129    36          43         35
 130    36          49         36
 131    37          38         37
 132    37          43         38
 133    37          44         39
 134    37          50         40
 135    38          39         41
 136    38          44         42
 137    38          45         43
 138    38          51         44
 139    39          45         45
 140    39          46         46
 141    39          52         47
 142    40          41          1
 143    40          47          2
 144    40          53          3
 145    41          42          4
 146    41          47          5
 147    41          48          6
 148    41          54          7
 149    42          43          8
 150    42          48          9
 151    42          49         10
 152    42          55         11
 153    43          44         12
 154    43          49         13
 155    43          50         14
 156    43          56         15
 157    44          45         16
 158    44          50         17
 159    44          51         18
 160    44          57         19
 161    45          46         20
 162    45          51         21
 163    45          52         22
 164    45          58         23
 165    46          52         24
 166    47          48         25
 167    47          53         26
 168    47          54         27
 169    47          60         28
 170    48          49         29
 171    48          54         30
 172    48          55         31
 173    48          61         32
 174    49          50         33
 175    49          55         34
 176    49          56         35
 177    49          62         36
 178    50          51         37
 179    50          56         38
 180    50          57         39
 181    50          63         40
 182    51          52         41
 183    51          57         42
 184    51          58         43
 185    51          64         44
 186    52          58         45
 187    52          59         46
 188    52          65         47
 189    53          54          1
 190    53          60          2
 191    53          66          3
 192    54          55          4
 193    54          60          5
 194    54          61          6
 195    54          67          7
 196    55          56          8
 197    55          61          9
 198    55          62         10
 199    55          68         11
 200    56          57         12
 201    56          62         13
 202    56          63         14
 203    56          69         15
 204    57          58         16
 205    57          63         17
 206    57          64         18
 207    57          70         19
 208    58          59         20
 209    58          64         21
 210    58          65         22
 211    58          71         23
 212    59          65         24
 213    60          61         25
 214    60          66         26
 215    60          67         27
 216    60          73         28
 217    61          62         29
 218    61          67         30
 219    61          68         31
 220    61          74         32
 221    62          63         33
 222    62          68         34
 223    62          69         35
 224    62          75         36
 225    63          64         37
 226    63          69         38
 227    63          70         39
 228    63          76         40
 229    64          65         41
 230    64          70         42
 231    64          71         43
 232    64          77         44
 233    65          71         45
 234    65          72         46
 235    65          78         47
 236    66          67          1
 237    66          73          2
 238    66          79          3
 239    67          68          4
 240    67          73          5
 241    67          74          6
 242    67          80          7
 243    68          69          8
 244    68          74          9
 245    68          75         10
 246    68          81         11
 247    69          70         12
 248    69          75         13
 249    69          76         14
 250    69          82         15
 251    70          71         16
 252    70          76         17
 253    70          77         18
 254    70          83         19
 255    71          72         20
 256    71          77         21
 257    71          78         22
 258    71          84         23
 259    72          78         24
 260    73          74         25
 261    73          79         26
 262    73          80         27
 263    73          86         28
 264    74          75         29
 265    74          80         30
 266    74          81         31
 267    74          87         32
 268    75          76         33
 269    75          81         34
 270    75          82         35
 271    75          88         36
 272    76          77         37
 273    76          82         38
 274    76          83         39
 275    76          89         40
 276    77          78         41
 277    77          83         42
 278    77          84         43
 279    77          90         44
 280    78          84         45
 281    78          85         46
 282    78          91         47
 283    79          80          1
 284    79          86          2
 285    79          92          3
 286    80          81          4
 287    80          86          5
 288    80          87          6
 289    80          93          7
 290    81          82          8
 291    81          87          9
 292    81          88         10
 293    81          94         11
 294    82          83         12
 295    82          88         13
 296    82          89         14
 297    82          95         15
 298    83          84         16
 299    83          89         17
 300    83          90         18
 301    83          96         19
 302    84          85         20
 303    84          90         21
 304    84          91         22
 305    84          97         23
 306    85          91         24
 307    86          87         25
 308    86          92         26
 309    86          93         27
 310    86          99         28
 311    87          88         29
 312    87          93         30
 313    87          94         31
 314    87         100         32
 315    88          89         33
 316    88          94         34
 317    88          95         35
 318    88         101         36
 319    89          90         37
 320    89          95         38
 321    89          96         39
 322    89         102         40
 323    90          91         41
 324    90          96         42
 325    90          97         43
 326    90         103         44
 327    91          97         45
 328    91          98         46
 329    91         104         47
 330    92          93          1
 331    92          99          2
 332    92         105          3
 333    93          94          4
 334    93          99          5
 335    93         100          6
 336    93         106          7
 337    94          95          8
 338    94         100          9
 339    94         101         10
 340    94         107         11
 341    95          96         12
 342    95         101         13
 343    95         102         14
 344    95         108         15
 345    96          97         16
 346    96         102         17
 347    96         103         18
 348    96         109         19
 349    97          98         20
 350    97         103         21
 351    97         104         22
 352    97         110         23
 353    98         104         24
 354    99         100         25
 355    99         105         26
 356    99         106         27
 357    99         112         28
 358   100         101         29
 359   100         106         30
 360   100         107         31
 361   100         113         32
 362   101         102         33
 363   101         107         34
 364   101         108         35
 365   101         114         36
 366   102         103         37
 367   102         108         38
 368   102         109         39
 369   102         115         40
 370   103         104         41
 371   103         109         42
 372   103         110         43
 373   103         116         44
 374   104         110         45
 375   104         111         46
 376   104         117         47
 377   105         106          1
 378   105         112          2
 379   105         118          3
 380   106         107          4
 381   106         112          5
 382   106         113          6
 383   106         119          7
 384   107         108          8
 385   107         113          9
 386   107         114         10
 387   107         120         11
 388   108         109         12
 389   108         114         13
 390   108         115         14
 391   108         121         15
 392   109         110         16
 393   109         115         17
 394   109         116         18
 395   109         122         19
 396   110         111         20
 397   110         116         21
 398   110         117         22
 399   110         123         23
 400   111         117         24
 401   112         113         25
 402   112         118         26
 403   112         119         27
 404   112         125         28
 405   113         114         29
 406   113         119         30
 407   113         120         31
 408   113         126         32
 409   114         115         33
 410   114         120         34
 411   114         121         35
 412   114         127         36
 413   115         116         37
 414   115         121         38
 415   115         122         39
 416   115         128         40
 417   116         117         41
 418   116         122         42
 419   116         123         43
 420   116         129         44
 421   117         123         45
 422   117         124         46
 423   117         130         47
 424   118         119          1
 425   118         125          2
 426   118         131          3
 427   119         120          4
 428   119         125          5
 429   119         126          6
 430   119         132          7
 431   120         121          8
 432   120         126          9
 433   120         127         10
 434   120         133         11
 435   121         122         12
 436   121         127         13
 437   121         128         14
 438   121         134         15
 439   122         123         16
 440   122         128         17
 441   122         129         18
 442   122         135         19
 443   123         124         20
 444   123         129         21
 445   123         130         22
 446   123         136         23
 447   124         130         24
 448   125         126         25
 449   125         131         26
 450   125         132         27
 451   125         138         28
 452   126         127         29
 453   126         132         30
 454   126         133         31
 455   126         139         32
 456   127         128         33
 457   127         133         34
 458   127         134         35
 459   127         140         36
 460   128         129         37
 461   128         134         38
 462   128         135         39
 463   128         141         40
 464   129         130         41
 465   129         135         42
 466   129         136         43
 467   129         142         44
 468   130         136         45
 469   130         137         46
 470   130         143         47
 471   131         132          1
 472   131         138          2
 473   131         144          3
 474   132         133          4
 475   132         138          5
 476   132         139          6
 477   132         145          7
 478   133         134          8
 479   133         139          9
 480   133         140         10
 481   133         146         11
 482   134         135         12
 483   134         140         13
 484   134         141         14
 485   134         147         15
 486   135         136         16
 487   135         141         17
 488   135         142         18
 489   135         148         19
 490   136         137         20
 491   136         142         21
 492   136         143         22
 493   136         149         23
 494   137         143         24
 495   138         139         25
 496   138         144         26
 497   138         145         27
 498   138         151         28
 499   139         140         29
 500   139         145         30
 501   139         146         31
 502   139         152         32
 503   140         141         33
 504   140         146         34
 505   140         147         35
 506   140         153         36
 507   141         142         37
 508   141         147         38
 509   141         148         39
 510   141         154         40
 511   142         143         41
 512   142         148         42
 513   142         149         43
 514   142         155         44
 515   143         149         45
 516   143         150         46
 517   143         156         47
 518   144         145          1
 519   144         151          2
 520   144         157          3
 521   145         146          4
 522   145         151          5
 523   145         152          6
 524   145         158          7
 525   146         147          8
 526   146         152          9
 527   146         153         10
 528   146         159         11
 529   147         148         12
 530   147         153         13
 531   147         154         14
 532   147         160         15
 533   148         149         16
 534   148         154         17
 535   148         155         18
 536   148         161         19
 537   149         150         20
 538   149         155         21
 539   149         156         22
 540   149         162         23
 541   150         156         24
 542   151         152         25
 543   151         157         26
 544   151         158         27
 545   151         164         28
 546   152         153         29
 547   152         158         30
 548   152         159         31
 549   152         165         32
 550   153         154         33
 551   153         159         34
 552   153         160         35
 553   153         166         36
 554   154         155         37
 555   154         160         38
 556   154         161         39
 557   154         167         40
 558   155         156         41
 559   155         161         42
 560   155         162         43
 561   155         168         44
 562   156         162         45
 563   156         163         46
 564   156         169         47
 565   157         158          1
 566   157         164          2
 567   157         170          3
 568   158         159          4
 569   158         164          5
 570   158         165          6
 571   158         171          7
 572   159         160          8
 573   159         165          9
 574   159         166         10
 575   159         172         11
 576   160         161         12
 577   160         166         13
 578   160         167         14
 579   160         173         15
 580   161         162         16
 581   161         167         17
 582   161         168         18
 583   161         174         19
 584   162         163         20
 585   162         168         21
 586   162         169         22
 587   162         175         23
 588   163         169         24
 589   164         165         25
 590   164         170         26
 591   164         171         27
 592   164         177         28
 593   165         166         29
 594   165         171         30
 595   165         172         31
 596   165         178         32
 597   166         167         33
 598   166         172         34
 599   166         173         35
 600   166         179         36
 601   167         168         37
 602   167         173         38
 603   167         174         39
 604   167         180         40
 605   168         169         41
 606   168         174         42
 607   168         175         43
 608   168         181         44
 609   169         175         45
 610   169         176         46
 611   169         182         47
 612   170         171          1
 613   170         177          2
 614   170         183          3
 615   171         172          4
 616   171         177          5
 617   171         178          6
 618   171         184          7
 619   172         173          8
 620   172         178          9
 621   172         179         10
 622   172         185         11
 623   173         174         12
 624   173         179         13
 625   173         180         14
 626   173         186         15
 627   174         175         16
 628   174         180         17
 629   174         181         18
 630   174         187         19
 631   175         176         20
 632   175         181         21
 633   175         182         22
 634   175         188         23
 635   176         182         24
 636   177         178         25
 637   177         183         26
 638   177         184         27
 639   177         190         28
 640   178         179         29
 641   178         184         30
 642   178         185         31
 643   178         191         32
 644   179         180         33
 645   179         185         34
 646   179         186         35
 647   179         192         36
 648   180         181         37
 649   180         186         38
 650   180         187         39
 651   180         193         40
 652   181         182         41
 653   181         187         42
 654   181         188         43
 655   181         194         44
 656   182         188         45
 657   182         189         46
 658   182         195         47
 659   183         184          1
 660   183         190          2
 661   183         196          3
 662   184         185          4
 663   184         190          5
 664   184         191          6
 665   184         197          7
 666   185         186          8
 667   185         191          9
 668   185         192         10
 669   185         198         11
 670   186         187         12
 671   186         192         13
 672   186         193         14
 673   186         199         15
 674   187         188         16
 675   187         193         17
 676   187         194         18
 677   187         200         19
 678   188         189         20
 679   188         194         21
 680   188         195         22
 681   188         201         23
 682   189         195         24
 683   190         191         25
 684   190         196         26
 685   190         197         27
 686   190         203         28
 687   191         192         29
 688   191         197         30
 689   191         198         31
 690   191         204         32
 691   192         193         33
 692   192         198         34
 693   192         199         35
 694   192         205         36
 695   193         194         37
 696   193         199         38
 697   193         200         39
 698   193         206         40
 699   194         195         41
 700   194         200         42
 701   194         201         43
 702   194         207         44
 703   195         201         45
 704   195         202         46
 705   195         208         47
 706   196         197          1
 707   196         203          2
 708   196         209          3
 709   197         198          4
 710   197         203          5
 711   197         204          6
 712   197         210          7
 713   198         199          8
 714   198         204          9
 715   198         205         10
 716   198         211         11
 717   199         200         12
 718   199         205         13
 719   199         206         14
 720   199         212         15
 721   200         201         16
 722   200         206         17
 723   200         207         18
 724   200         213         19
 725   201         202         20
 726   201         207         21
 727   201         208         22
 728   201         214         23
 729   202         208         24
 730   203         204         25
 731   203         209         26
 732   203         210         27
 733   203         216         28
 734   204         205         29
 735   204         210         30
 736   204         211         31
 737   204         217         32
 738   205         206         33
 739   205         211         34
 740   205         212         35
 741   205         218         36
 742   206         207         37
 743   206         212         38
 744   206         213         39
 745   206         219         40
 746   207         208         41
 747   207         213         42
 748   207         214         43
 749   207         220         44
 750   208         214         45
 751   208         215         46
 752   208         221         47
 753   209         210          1
 754   209         216          2
 755   209         222          3
 756   210         211          4
 757   210         216          5
 758   210         217          6
 759   210         223          7
 760   211         212          8
 761   211         217          9
 762   211         218         10
 763   211         224         11
 764   212         213         12
 765   212         218         13
 766   212         219         14
 767   212         225         15
 768   213         214         16
 769   213         219         17
 770   213         220         18
 771   213         226         19
 772   214         215         20
 773   214         220         21
 774   214         221         22
 775   214         227         23
 776   215         221         24
 777   216         217         25
 778   216         222         26
 779   216         223         27
 780   216         229         28
 781   217         218         29
 782   217         223         30
 783   217         224         31
 784   217         230         32
 785   218         219         33
 786   218         224         34
 787   218         225         35
 788   218         231         36
 789   219         220         37
 790   219         225         38
 791   219         226         39
 792   219         232         40
 793   220         221         41
 794   220         226         42
 795   220         227         43
 796   220         233         44
 797   221         227         45
 798   221         228         46
 799   221         234         47
 800   222         223          1
 801   222         229          2
 802   222         235          3
 803   223         224          4
 804   223         229          5
 805   223         230          6
 806   223         236          7
 807   224         225          8
 808   224         230          9
 809   224         231         10
 810   224         237         11
 811   225         226         12
 812   225         231         13
 813   225         232         14
 814   225         238         15
 815   226         227         16
 816   226         232         17
 817   226         233         18
 818   226         239         19
 819   227         228         20
 820   227         233         21
 821   227         234         22
 822   227         240         23
 823   228         234         24
 824   229         230         25
 825   229         235         26
 826   229         236         27
 827   229         242         28
 828   230         231         29
 829   230         236         30
 830   230         237         31
 831   230         243         32
 832   231         232         33
 833   231         237         34
 834   231         238         35
 835   231         244         36
 836   232         233         37
 837   232         238         38
 838   232         239         39
 839   232         245         40
 840   233         234         41
 841   233         239         42
 842   233         240         43
 843   233         246         44
 844   234         240         45
 845   234         241         46
 846   234         247         47
 847   235         236          1
 848   235         242          2
 849   235         248          3
 850   236         237          4
 851   236         242          5
 852   236         243          6
 853   236         249          7
 854   237         238          8
 855   237         243          9
 856   237         244         10
 857   237         250         11
 858   238         239         12
 859   238         244         13
 860   238         245         14
 861   238         251         15
 862   239         240         16
 863   239         245         17
 864   239         246         18
 865   239         252         19
 866   240         241         20
 867   240         246         21
 868   240         247         22
 869   240         253         23
 870   241         247         24
 871   242         243         25
 872   242         248         26
 873   242         249         27
 874   242         255         28
 875   243         244         29
