#node     #x        #y       #z
  1   1.00000  -0.00000   4.00000
  2   3.00000  -0.00000   3.75000
  3   5.00000  -0.00000   3.25000
  4   7.00000  -0.00000   2.75000
  5   9.00000  -0.00000   2.00000
  6  11.00000  -0.00000   1.25000
  7  13.00000  -0.00000   0.00000
  8   1.98899   0.20905   3.00000
  9   3.97799   0.41810   2.75000
 10   5.96698   0.62716   2.25000
 11   7.95598   0.83621   1.75000
 12   9.94500   1.04526   1.00000
 13  11.93400   1.25431  -0.50000
 14   0.97815   0.20791   4.00000
 15   2.93444   0.62373   3.75000
 16   4.89074   1.03956   3.25000
 17   6.84703   1.45538   2.75000
 18   8.80333   1.87120   2.00000
 19  10.75962   2.28703   1.25000
 20  12.71592   2.70285   0.00000
 21   1.90207   0.61802   3.00000
 22   3.80413   1.23604   2.75000
 23   5.70620   1.85406   2.25000
 24   7.60826   2.47207   1.75000
 25   9.51036   3.09010   1.00000
 26  11.41243   3.70812  -0.50000
 27   0.91355   0.40674   4.00000
 28   2.74064   1.22021   3.75000
 29   4.56773   2.03368   3.25000
 30   6.39482   2.84716   2.75000
 31   8.22191   3.66063   2.00000
 32  10.04900   4.47410   1.25000
 33  11.87609   5.28758   0.00000
 34   1.73201   0.99998   3.00000
 35   3.46402   1.99995   2.75000
 36   5.19602   2.99993   2.25000
 37   6.92803   3.99990   1.75000
 38   8.66007   4.99989   1.00000
 39  10.39207   5.99987  -0.50000
 40   0.80902   0.58779   4.00000
 41   2.42705   1.76336   3.75000
 42   4.04508   2.93893   3.25000
 43   5.66312   4.11450   2.75000
 44   7.28115   5.29007   2.00000
 45   8.89919   6.46564   1.25000
 46  10.51722   7.64121   0.00000
 47   1.48625   1.33823   3.00000
 48   2.97251   2.67646   2.75000
 49   4.45876   4.01468   2.25000
 50   5.94501   5.35291   1.75000
 51   7.43129   6.69116   1.00000
 52   8.91754   8.02939  -0.50000
 53   0.66913   0.74314   4.00000
 54   2.00739   2.22943   3.75000
 55   3.34565   3.71572   3.25000
 56   4.68391   5.20201   2.75000
 57   6.02218   6.68830   2.00000
 58   7.36044   8.17459   1.25000
 59   8.69870   9.66088   0.00000
 60   1.17554   1.61799   3.00000
 61   2.35108   3.23599   2.75000
 62   3.52662   4.85398   2.25000
 63   4.70217   6.47198   1.75000
 64   5.87773   8.08999   1.00000
 65   7.05327   9.70799  -0.50000
 66   0.50000   0.86603   4.00000
 67   1.50000   2.59808   3.75000
 68   2.50000   4.33013   3.25000
 69   3.50000   6.06218   2.75000
 70   4.50000   7.79423   2.00000
 71   5.50000   9.52628   1.25000
 72   6.50000  11.25833   0.00000
 73   0.81345   1.82705   3.00000
 74   1.62691   3.65409   2.75000
 75   2.44036   5.48114   2.25000
 76   3.25381   7.30818   1.75000
 77   4.06728   9.13526   1.00000
 78   4.88073  10.96230  -0.50000
 79   0.30902   0.95106   4.00000
 80   0.92705   2.85317   3.75000
 81   1.54508   4.75528   3.25000
 82   2.16312   6.65740   2.75000
 83   2.78115   8.55951   2.00000
 84   3.39919  10.46162   1.25000
 85   4.01722  12.36373   0.00000
 86   0.41581   1.95625   3.00000
 87   0.83163   3.91249   2.75000
 88   1.24744   5.86874   2.25000
 89   1.66325   7.82499   1.75000
 90   2.07907   9.78126   1.00000
 91   2.49488  11.73751  -0.50000
 92   0.10453   0.99452   4.00000
 93   0.31359   2.98357   3.75000
 94   0.52264   4.97261   3.25000
 95   0.73170   6.96165   2.75000
 96   0.94076   8.95070   2.00000
 97   1.14981  10.93974   1.25000
 98   1.35887  12.92878   0.00000
 99   0.00000   1.99995   3.00000
100   0.00000   3.99990   2.75000
101   0.00000   5.99985   2.25000
102   0.00000   7.99980   1.75000
103   0.00000   9.99978   1.00000
104   0.00000  11.99973  -0.50000
105  -0.10453   0.99452   4.00000
106  -0.31359   2.98357   3.75000
107  -0.52264   4.97261   3.25000
108  -0.73170   6.96165   2.75000
109  -0.94076   8.95070   2.00000
110  -1.14981  10.93974   1.25000
111  -1.35887  12.92878   0.00000
112  -0.41581   1.95625   3.00000
113  -0.83163   3.91249   2.75000
114  -1.24744   5.86874   2.25000
115  -1.66325   7.82499   1.75000
116  -2.07907   9.78126   1.00000
117  -2.49489  11.73751  -0.50000
118  -0.30902   0.95106   4.00000
119  -0.92705   2.85317   3.75000
120  -1.54509   4.75528   3.25000
121  -2.16312   6.65740   2.75000
122  -2.78115   8.55951   2.00000
123  -3.39919  10.46162   1.25000
124  -4.01722  12.36373   0.00000
125  -0.81345   1.82705   3.00000
126  -1.62691   3.65409   2.75000
127  -2.44036   5.48114   2.25000
128  -3.25381   7.30818   1.75000
129  -4.06728   9.13526   1.00000
130  -4.88073  10.96230  -0.50000
131  -0.50000   0.86603   4.00000
132  -1.50000   2.59808   3.75000
133  -2.50000   4.33013   3.25000
134  -3.50000   6.06218   2.75000
135  -4.50000   7.79423   2.00000
136  -5.50000   9.52628   1.25000
137  -6.50000  11.25833   0.00000
138  -1.17554   1.61799   3.00000
139  -2.35108   3.23599   2.75000
140  -3.52662   4.85398   2.25000
141  -4.70217   6.47198   1.75000
142  -5.87773   8.08999   1.00000
143  -7.05327   9.70799  -0.50000
144  -0.66913   0.74314   4.00000
145  -2.00739   2.22943   3.75000
146  -3.34565   3.71572   3.25000
147  -4.68391   5.20201   2.75000
148  -6.02218   6.68830   2.00000
149  -7.36044   8.17459   1.25000
150  -8.69870   9.66088   0.00000
151  -1.48625   1.33823   3.00000
152  -2.97251   2.67646   2.75000
153  -4.45876   4.01468   2.25000
154  -5.94501   5.35291   1.75000
155  -7.43129   6.69116   1.00000
156  -8.91754   8.02939  -0.50000
157  -0.80902   0.58779   4.00000
158  -2.42705   1.76336   3.75000
159  -4.04509   2.93893   3.25000
160  -5.66312   4.11450   2.75000
161  -7.28115   5.29007   2.00000
162  -8.89919   6.46564   1.25000
163 -10.51722   7.64121   0.00000
164  -1.73201   0.99998   3.00000
165  -3.46402   1.99995   2.75000
166  -5.19602   2.99993   2.25000
167  -6.92803   3.99990   1.75000
168  -8.66007   4.99989   1.00000
169 -10.39207   5.99987  -0.50000
170  -0.91355   0.40674   4.00000
171  -2.74064   1.22021   3.75000
172  -4.56773   2.03368   3.25000
173  -6.39482   2.84716   2.75000
174  -8.22191   3.66063   2.00000
175 -10.04900   4.47410   1.25000
176 -11.87609   5.28758   0.00000
177  -1.90207   0.61802   3.00000
178  -3.80413   1.23604   2.75000
179  -5.70620   1.85406   2.25000
180  -7.60826   2.47207   1.75000
181  -9.51036   3.09010   1.00000
182 -11.41243   3.70812  -0.50000
183  -0.97815   0.20791   4.00000
184  -2.93444   0.62373   3.75000
185  -4.89074   1.03956   3.25000
186  -6.84703   1.45538   2.75000
187  -8.80333   1.87120   2.00000
188 -10.75962   2.28703   1.25000
189 -12.71592   2.70285   0.00000
190  -1.98899   0.20905   3.00000
191  -3.97799   0.41810   2.75000
192  -5.96698   0.62716   2.25000
193  -7.95598   0.83621   1.75000
194  -9.94500   1.04526   1.00000
195 -11.93400   1.25431  -0.50000
196  -1.00000   0.00000   4.00000
197  -3.00000   0.00000   3.75000
198  -5.00000   0.00000   3.25000
199  -7.00000   0.00000   2.75000
200  -9.00000   0.00000   2.00000
201 -11.00000   0.00000   1.25000
202 -13.00000   0.00000   0.00000
203  -1.98899  -0.20905   3.00000
204  -3.97799  -0.41810   2.75000
205  -5.96698  -0.62716   2.25000
206  -7.95598  -0.83621   1.75000
207  -9.94500  -1.04526   1.00000
208 -11.93400  -1.25431   -0.5000
209  -0.97815  -0.20791   4.00000
210  -2.93444  -0.62374   3.75000
211  -4.89074  -1.03956   3.25000
212  -6.84703  -1.45538   2.75000
213  -8.80333  -1.87121   2.00000
214 -10.75962  -2.28703   1.25000
215 -12.71592  -2.70285   0.00000
216  -1.90207  -0.61802   3.00000
217  -3.80413  -1.23604   2.75000
218  -5.70620  -1.85406   2.25000
219  -7.60826  -2.47208   1.75000
220  -9.51036  -3.09010   1.00000
221 -11.41243  -3.70812   -0.5000
222  -0.91355  -0.40674   4.00000
223  -2.74064  -1.22021   3.75000
224  -4.56773  -2.03368   3.25000
225  -6.39482  -2.84716   2.75000
226  -8.22191  -3.66063   2.00000
227 -10.04900  -4.47410   1.25000
228 -11.87609  -5.28758   0.00000
229  -1.73201  -0.99998   3.00000
230  -3.46402  -1.99995   2.75000
231  -5.19602  -2.99993   2.25000
232  -6.92803  -3.99990   1.75000
233  -8.66007  -4.99989   1.00000
234 -10.39207  -5.99987   -0.5000
235  -0.80902  -0.58779   4.00000
236  -2.42705  -1.76336   3.75000
237  -4.04508  -2.93893   3.25000
238  -5.66312  -4.11450   2.75000
239  -7.28115  -5.29007   2.00000
240  -8.89919  -6.46564   1.25000
241 -10.51722  -7.64121   0.00000
242  -1.48625  -1.33823   3.00000
243  -2.97251  -2.67646   2.75000
244  -4.45876  -4.01468   2.25000
245  -5.94501  -5.35291   1.75000
246  -7.43129  -6.69116   1.00000
247  -8.91754  -8.02939  -0.50000
248  -0.66913  -0.74314   4.00000
249  -2.00739  -2.22943   3.75000
250  -3.34565  -3.71572   3.25000
251  -4.68391  -5.20201   2.75000
252  -6.02217  -6.68830   2.00000
253  -7.36044  -8.17459   1.25000
254  -8.69870  -9.66088   0.00000
255  -1.17554  -1.61799   3.00000
256  -2.35108  -3.23599   2.75000
257  -3.52662  -4.85398   2.25000
258  -4.70216  -6.47198   1.75000
259  -5.87772  -8.09000   1.00000
260  -7.05326  -9.70799  -0.50000
261  -0.50000  -0.86603   4.00000
262  -1.50000  -2.59808   3.75000
263  -2.50000  -4.33013   3.25000
264  -3.50000  -6.06218   2.75000
265  -4.50000  -7.79423   2.00000
266  -5.50000  -9.52628   1.25000
267  -6.50000 -11.25833   0.00000
268  -0.81345  -1.82705   3.00000
269  -1.62691  -3.65409   2.75000
270  -2.44036  -5.48114   2.25000
271  -3.25381  -7.30818   1.75000
272  -4.06728  -9.13526   1.00000
273  -4.88073 -10.96230   -0.5000
274  -0.30902  -0.95106   4.00000
275  -0.92705  -2.85317   3.75000
276  -1.54509  -4.75528   3.25000
277  -2.16312  -6.65740   2.75000
278  -2.78115  -8.55951   2.00000
279  -3.39919 -10.46162   1.25000
280  -4.01722 -12.36373   0.00000
281  -0.41581  -1.95625   3.00000
282  -0.83163  -3.91249   2.75000
283  -1.24744  -5.86874   2.25000
284  -1.66325  -7.82499   1.75000
285  -2.07907  -9.78126   1.00000
286  -2.49489 -11.73751   -0.5000
287  -0.10453  -0.99452   4.00000
288  -0.31359  -2.98357   3.75000
289  -0.52264  -4.97261   3.25000
290  -0.73170  -6.96165   2.75000
291  -0.94076  -8.95070   2.00000
292  -1.14981 -10.93974   1.25000
293  -1.35887 -12.92878   0.00000
294   0.00000  -1.99995   3.00000
295   0.00000  -3.99990   2.75000
296   0.00000  -5.99985   2.25000
297   0.00000  -7.99980   1.75000
298   0.00000  -9.99978   1.00000
299   0.00000 -11.99973  -0.50000
300   0.10453  -0.99452   4.00000
301   0.31359  -2.98357   3.75000
302   0.52264  -4.97261   3.25000
303   0.73170  -6.96165   2.75000
304   0.94076  -8.95070   2.00000
305   1.14981 -10.93974   1.25000
306   1.35887 -12.92878   0.00000
307   0.41581  -1.95625   3.00000
308   0.83163  -3.91249   2.75000
309   1.24744  -5.86874   2.25000
310   1.66325  -7.82499   1.75000
311   2.07907  -9.78126   1.00000
312   2.49488 -11.73751  -0.50000
313   0.30902  -0.95106   4.00000
314   0.92705  -2.85317   3.75000
315   1.54509  -4.75528   3.25000
316   2.16312  -6.65740   2.75000
317   2.78115  -8.55951   2.00000
318   3.39919 -10.46162   1.25000
319   4.01722 -12.36373   0.00000
320   0.81345  -1.82705   3.00000
321   1.62691  -3.65409   2.75000
322   2.44036  -5.48114   2.25000
323   3.25381  -7.30818   1.75000
324   4.06728  -9.13526   1.00000
325   4.88073 -10.96230  -0.50000
326   0.50000  -0.86603   4.00000
327   1.50000  -2.59808   3.75000
328   2.50000  -4.33013   3.25000
329   3.50000  -6.06218   2.75000
330   4.50000  -7.79423   2.00000
331   5.50000  -9.52628   1.25000
332   6.50000 -11.25833   0.00000
333   1.17554  -1.61799   3.00000
334   2.35108  -3.23599   2.75000
335   3.52662  -4.85398   2.25000
336   4.70216  -6.47198   1.75000
337   5.87772  -8.08999   1.00000
338   7.05326  -9.70799  -0.50000
339   0.66913  -0.74314   4.00000
340   2.00739  -2.22943   3.75000
341   3.34565  -3.71572   3.25000
342   4.68392  -5.20201   2.75000
343   6.02218  -6.68830   2.00000
