 #bar     #source  #destination    #group
   1         1           5            1
   2         2           6            1
   3         3           7            1
   4         4           8            1
   5         1           6            2
   6         2           5            2
   7         3           6            2
   8         2           7            2
   9         4           7            2
  10         3           8            2
  11         4           5            2
  12         1           8            2
  13         1           2            3
  14         2           3            3
  15         3           4            3
  16         4           1            3
  17         1           3            4
  18         2           4            4
  19         5           9            5
  20         6          10            5
  21         7          11            5
  22         8          12            5
  23         5          10            6
  24         6           9            6
  25         7          10            6
  26         6          11            6
  27         8          11            6
  28         7          12            6
  29         8           9            6
  30         5          12            6
  31         5           6            7
  32         6           7            7
  33         7           8            7
  34         8           5            7
  35         5           7            8
  36         6           8            8
  37         9          13            9
  38        10          14            9
  39        11          15            9
  40        12          16            9
  41         9          14           10
  42        10          13           10
  43        11          14           10
  44        10          15           10
  45        12          15           10
  46        11          16           10
  47        12          13           10
  48         9          16           10
  49         9          10           11
  50        10          11           11
  51        11          12           11
  52        12           9           11
  53         9          11           12
  54        10          12           12
  55        13          17           13
  56        14          18           13
  57        15          19           13
  58        16          20           13
  59        13          18           14
  60        14          17           14
  61        15          18           14
  62        14          19           14
  63        16          19           14
  64        15          20           14
  65        16          17           14
  66        13          20           14
  67        13          14           15
  68        14          15           15
  69        15          16           15
  70        16          13           15
  71        13          15           16
  72        14          16           16
